,category,community,women_coef,women_pvalue,women_rsquare,women_rsquare_adj
38,science,cogsci,-0.008462611131409092,0.482025296045383,0.13031969630193907,-0.08710037962257622
39,life-arts,cooking,-0.005576098165464732,0.45069301149039687,0.08352578728615756,-0.0473991002443912
40,technology,crypto,0.017700486478448373,0.006554042461499558,0.8001441582352956,0.7601729898823547
41,science,cs,-0.008773743855103103,0.288809769190574,0.271823209657546,0.0897790120719325
42,science,cstheory,0.029103970954759237,0.1508022878674969,0.2709418274277612,0.16679065991744135
43,technology,dba,0.0028370248246941477,0.15474513945833743,0.30627069858385214,0.19064914834782742
44,life-arts,diy,-0.004082015947022899,0.05524578800237634,0.42976244405271213,0.34829993606024245
45,technology,drupal,-0.004897511486765105,0.32581223573146023,0.16021041010337544,0.02024547845393798
46,technology,dsp,0.031599626273730475,0.11869155565183574,0.41444890863990635,0.2973386903678876
47,technology,electronics,0.0022931651480860658,0.1391995222868062,0.2520867504540637,0.15859759426082165
48,culture-recreation,ell,-0.010238078290559812,0.3725494787587327,0.3936941566059382,0.09054123490890731
49,culture-recreation,english,0.005404082780818387,0.00918549264621953,0.6445479384977941,0.5937690725689075
50,technology,expressionengine,0.004188643383226415,0.8833114116482365,0.013616226651527286,-0.479575660022709
51,life-arts,fitness,-0.009010752407134049,0.06596263528067736,0.45635196304930337,0.3657439568908539
52,professional,freelancing,0.020238095238095218,0.7526077908643293,0.14356197942708449,-0.712876041145831
53,culture-recreation,french,0.032123147327899615,0.060167190333985314,0.5393044012330568,0.44716528147966816
54,technology,gamedev,-0.0023739352965963826,0.20947397111098132,0.2143496925638645,0.10211393435870231
55,culture-recreation,gaming,0.001689793894408458,0.3294798780470367,0.13561611429271359,0.012132702048815558
56,life-arts,gardening,-0.005047791658153216,0.22024909721231736,0.2817681668873635,0.13812180026483623
57,life-arts,genealogy,-0.03771360218728639,0.6471030507232598,0.12453625680883007,-0.31319561478675495
58,culture-recreation,german,0.0060981699558990965,0.34574910818613147,0.17801049326807228,0.013612591921686734
59,technology,gis,-0.0004991397600821118,0.9181289847429895,0.0016194677191342377,-0.14100632260670376
60,life-arts,graphicdesign,-0.005884174769026671,0.05725018596986599,0.4787581367218471,0.3918844928421549
61,culture-recreation,hermeneutics,0.011425258078428827,0.2152775681561854,0.3510231952356646,0.18877899404458076
62,culture-recreation,history,0.0017267561020807513,0.8380445574168397,0.01174943724233335,-0.23531320344708329
63,culture-recreation,islam,0.009187084658782771,0.5053301868688571,0.1595214922607857,-0.12063801031895238
64,culture-recreation,japanese,0.011853180925245675,0.2444195980525938,0.2580639569729394,0.10967674836752728
65,culture-recreation,judaism,-0.00213273782782341,0.7306751478641895,0.015639370333723757,-0.10740570837456076
66,science,linguistics,-0.007908411753118127,0.5097172124610889,0.11556657588571162,-0.10554178014286042
67,technology,magento,0.0007904275239326991,0.9552105507339814,0.0020060947655532457,-0.4969908578516702
68,science,math,0.0039502941263910695,0.056847801561553696,0.4256115935480673,0.34355610691207694
69,technology,mathematica,0.002464753885538052,0.48133448054527134,0.1307023978671612,-0.08662200266604847
70,science,mathoverflow,0.00363941001200445,0.017398084625917565,0.5273438956791849,0.4682618826390831
71,culture-recreation,mechanics,0.0014053852502916608,0.830245511286588,0.010100334785861032,-0.18787959825696676
72,life-arts,money,-0.00872653855168926,0.1016250355478259,0.29941189768894483,0.2118383849000629
73,life-arts,movies,-0.006184688876143765,0.27137901718275226,0.2889209017734087,0.1111511272167609
74,life-arts,music,-0.002088267819461829,0.7117444663407493,0.02970267095539525,-0.1643567948535256
75,culture-recreation,outdoors,-0.0027500063072652776,0.7161316204150847,0.03670664870377205,-0.20411668912028502
76,life-arts,parenting,-0.011293451439778668,0.23874566029574973,0.26343401020462653,0.11612081224555182
77,science,philosophy,-0.0019280864531009121,0.6573496686456337,0.04251547138550538,-0.14898143433739341
78,life-arts,photo,0.0010473855682793993,0.5948952729371875,0.04243680694849705,-0.0943579349160033
79,science,physics,0.00011308224472206252,0.9540341301384312,0.000601473805255992,-0.16596494722720134
80,business,pm,0.005442489887583513,0.1261178251520507,0.34449573198563577,0.23524502064990838
81,life-arts,productivity,0.004807782200128624,0.5126085461461087,0.09028575567263797,-0.09165709319283444
82,technology,programmers,-0.0029224871910557065,0.13036221347725999,0.29547403044326526,0.1948274633637318
83,business,quant,0.01394334475227064,0.11878962745162189,0.3554384766595152,0.2480115561027677
84,technology,raspberrypi,0.0021603457472270473,0.7279885506529733,0.04635955487704124,-0.2715205934972782
